name,club,position,age,goals,assists,transfer_value,log_transfer_value
Brian Brobbey,Sunderland,Offence,24,0,0,30000000.0,17.216707972959764
Simon Adingra,Sunderland,Offence,24,0,0,22000000.0,16.906553056777135
Romaine Mundle,Sunderland,Offence,23,0,0,7000000.0,15.76142084987672
Chemsdine Talbi,Sunderland,Offence,21,0,0,25000000.0,17.034386422832473
Brandon Austin,Tottenham,Goalkeeper,27,0,0,500000.0,13.122365377402328
Antonín Kinský,Tottenham,Goalkeeper,23,0,0,15000000.0,16.52356082573315
Ben Davies,Tottenham,Defence,33,0,0,3000000.0,14.914123179965662
Pedro Porro,Tottenham,Defence,26,0,0,35000000.0,17.370858648025116
Destiny Udogie,Tottenham,Defence,23,0,0,30000000.0,17.216707972959764
Archie Gray,Tottenham,Defence,20,0,0,35000000.0,17.370858648025116
Dejan Kulusevski,Tottenham,Midfield,26,0,0,17000000.0,16.648723960844016
Rodrigo Bentancur,Tottenham,Midfield,29,0,0,20000000.0,16.811242881518265
James Maddison,Tottenham,Midfield,29,0,0,20000000.0,16.811242881518265
Conor Gallagher,Tottenham,Midfield,26,0,0,32000000.0,17.281246492014
Lucas Bergvall,Tottenham,Midfield,20,0,0,35000000.0,17.370858648025116
Dominic Solanke,Tottenham,Offence,28,0,0,28000000.0,17.147715103853763
Richarlison,Tottenham,Offence,29,0,0,25000000.0,17.034386422832473
Mohammed Kudus,Tottenham,Offence,26,0,0,50000000.0,17.72753358339242
Mathys Tel,Tottenham,Offence,21,0,0,22000000.0,16.906553056777135
Wilson Odobert,Tottenham,Offence,21,0,0,18000000.0,16.705882371415992
Paddy McNair,Hull City,Defence,31,0,0,1500000.0,14.220976332738882
John Egan,Hull City,Defence,33,0,0,1000000.0,13.815511557963774
Semi Ajayi,Hull City,Defence,32,1,0,700000.0,13.45883704259595
Jayden Bogle,Leeds United,Defence,26,0,0,15000000.0,16.52356082573315
James Justin,Leeds United,Defence,28,0,0,12000000.0,16.300417291085605
